2022.01.02 00:00:00;NZD;0;Bank Holiday (All Day);;;;;;
2022.01.02 00:00:00;AUD;0;Bank Holiday (All Day);;;;;;
2022.01.02 00:00:00;JPY;0;Bank Holiday (All Day);;;;;;
2022.01.02 00:00:00;CNY;0;Bank Holiday (All Day);;;;;;
2022.01.03 00:00:00;EUR;0;Italian Bank Holiday (All Day);;;;;;
2022.01.03 00:00:00;GBP;0;Bank Holiday (All Day);;;;;;
2022.01.03 03:15:00;EUR;1;Spanish Manufacturing PMI;57.1;56.3;56.2;;;
2022.01.03 03:30:00;CHF;1;Manufacturing PMI;62.5;61.2;62.7;;;
2022.01.03 03:45:00;EUR;1;Italian Manufacturing PMI;62.8;61.6;62.0;;;
2022.01.03 03:50:00;EUR;1;French Final Manufacturing PMI;54.9;54.9;55.6;;;
2022.01.03 03:55:00;EUR;1;German Final Manufacturing PMI;57.9;57.9;57.4;;;
2022.01.03 04:00:00;EUR;1;Final Manufacturing PMI;58.0;58.0;58.0;;;
2022.01.03 04:00:00;CAD;0;Bank Holiday (All Day);;;;;;
2022.01.03 04:00:00;USD;0;Bank Holiday (All Day);;;;;;
2022.01.03 09:45:00;USD;1;Final Manufacturing PMI;57.8;57.7;57.7;;;
2022.01.03 10:00:00;USD;1;Construction Spending m/m;0.4%;0.8%;0.4%;;0.2%;
2022.01.03 10:00:00;NZD;0;Bank Holiday (All Day);;;;;;
2022.01.03 19:01:00;GBP;1;BRC Shop Price Index y/y;0.3%;;0.8%;;;
2022.01.03 19:30:00;JPY;1;Final Manufacturing PMI;54.2;54.3;54.3;;;
2022.01.03 20:45:00;CNY;1;Caixin Manufacturing PMI;49.9;50.1;50.9;;;
2022.01.04 00:30:00;AUD;1;Commodity Prices y/y;36.7%;;25.7%;;36.2%;
2022.01.04 02:00:00;EUR;1;German Retail Sales m/m;0.5%;-0.2%;0.6%;;-0.3%;
2022.01.04 02:30:00;CHF;1;CPI m/m;0.0%;-0.1%;-0.1%;;;
