2008.07.01 00:30:00;AUD;3;Cash Rate;7.25%;7.25%;7.25%;;;
2008.07.01 00:30:00;AUD;3;RBA Rate Statement;;;;;;
2008.07.01 02:00:00;EUR;2;German Retail Sales m/m;-0.6%;0.8%;1.3%;;;
2008.07.01 02:00:00;GBP;3;Nationwide HPI m/m;-2.5%;-1.1%;-0.9%;;;
2008.07.01 02:30:00;AUD;2;Commodity Prices y/y;26.4%;;37.8%;;;
2008.07.01 03:15:00;EUR;1;Spanish Manufacturing PMI;43.8;;40.6;;;
2008.07.01 03:30:00;CHF;2;Manufacturing PMI;55.7;55.1;54.9;;;
2008.07.01 03:45:00;EUR;1;Italian Manufacturing PMI;48.0;47.6;46.9;;;
2008.07.01 03:50:00;EUR;1;French Final Manufacturing PMI;49.1;49.1;49.2;;;
2008.07.01 03:55:00;EUR;2;German Unemployment Change;2K;-15K;-38K;;;
2008.07.01 03:55:00;EUR;1;German Final Manufacturing PMI;52.3;52.4;52.6;;;
2008.07.01 04:00:00;EUR;1;Final Manufacturing PMI;49.1;49.1;49.2;;;
2008.07.01 04:30:00;GBP;3;Final Manufacturing PMI;49.5;49.8;45.8;;;
2008.07.01 05:00:00;EUR;1;Unemployment Rate;7.2%;7.1%;7.2%;;;
2008.07.01 05:00:00;CAD;0;Bank Holiday (All Day);;;;;;
2008.07.01 10:00:00;USD;3;ISM Manufacturing PMI;49.6;48.6;50.2;;;
2008.07.01 10:00:00;USD;1;Construction Spending m/m;-0.1%;-0.5%;-0.4%;;;
2008.07.01 10:00:00;USD;1;ISM Manufacturing Prices;87.0;87.1;91.5;;;
2008.07.01 10:00:00;USD;1;Total Vehicle Sales (All Day);14.3M;13.9M;13.6M;;;
2008.07.01 19:50:00;JPY;1;Monetary Base y/y;-0.9%;0.0%;0.4%;;;
2008.07.01 21:30:00;AUD;3;Building Approvals m/m;5.4%;-3.3%;-6.5%;;;
2008.07.01 21:30:00;AUD;3;Retail Sales m/m;-0.1%;0.1%;0.7%;;;
2008.07.02 03:00:00;EUR;1;Spanish Unemployment Change;15.1K;;36.8K;;;
2008.07.02 03:15:00;EUR;2;ECB President Trichet Speaks;;;;;;
2008.07.02 04:30:00;GBP;2;Construction PMI;43.9;43.1;38.8;;;
2008.07.02 04:30:00;GBP;1;Housing Equity Withdrawal q/q;7.4B;5.4B;5.0B;;;
2008.07.02 05:00:00;EUR;1;PPI m/m;0.9%;0.9%;1.2%;;;
2008.07.02 06:06:00;EUR;1;German 10-y Bond Auction;4.36|1.2;;4.66|1.1;;;
2008.07.02 07:30:00;USD;1;Challenger Job Cuts y/y;45.6%;;46.7%;;;
2008.07.02 08:15:00;USD;3;ADP Non-Farm Employment Change;25K;-20K;-79K;;;
2008.07.02 10:00:00;USD;2;Factory Orders m/m;1.3%;0.4%;0.6%;;;
2008.07.02 10:30:00;GBP;1;MPC Member Bean Speaks;;;;;;
2008.07.02 10:30:00;NZD;1;GDT Price Index;-1.2%;;1.0%;;;
2008.07.02 10:35:00;USD;2;Crude Oil Inventories;0.8M;-0.1M;-2.0M;;;
2008.07.02 11:00:00;USD;2;Treasury Sec Paulson Speaks;;;;;;
2008.07.02 12:00:00;USD;2;FOMC Member Mishkin Speaks;;;;;;
2008.07.02 19:30:00;AUD;1;AIG Services Index;49.7;;45.4;;;
2008.07.02 21:00:00;CNY;1;Non-Manufacturing PMI;60.5;;56.9;;;
2008.07.02 21:30:00;AUD;3;Trade Balance;0.01B;-1.04B;-0.97B;;;
2008.07.02 23:06:00;NZD;1;ANZ Commodity Prices m/m;0.9%;;0.0%;;;
2008.07.02 23:45:00;JPY;1;10-y Bond Auction;1.80|2.1;;1.70|3.1;;;
2008.07.03 01:45:00;CHF;3;CPI m/m;0.8%;0.4%;0.2%;;;
2008.07.03 03:15:00;EUR;1;Spanish Services PMI;43.3;;36.7;;;
2008.07.03 03:45:00;EUR;1;Italian Services PMI;48.1;47.8;48.5;;;
2008.07.03 03:50:00;EUR;1;French Final Services PMI;49.2;49.2;50.1;;;
2008.07.03 03:55:00;EUR;1;German Final Services PMI;53.3;53.3;52.1;;;
2008.07.03 04:00:00;EUR;1;Final Services PMI;49.5;49.5;49.1;;;
2008.07.03 04:30:00;GBP;3;Final Services PMI;49.8;49.5;47.1;;;
2008.07.03 04:30:00;GBP;2;BOE Credit Conditions Survey;;;;;;
2008.07.03 05:00:00;CHF;1;SNB Quarterly Bulletin;;;;;;
2008.07.03 05:00:00;EUR;2;Retail Sales m/m;-0.6%;0.4%;1.2%;;;
2008.07.03 05:02:00;EUR;1;French 10-y Bond Auction;4.61|2.3;;4.85|2.1;;;
2008.07.03 07:45:00;EUR;3;Main Refinancing Rate;4.00%;4.25%;4.25%;;;
2008.07.03 08:30:00;EUR;3;ECB Press Conference;;;;;;
2008.07.03 08:30:00;USD;3;Non-Farm Employment Change;-62K;-60K;-62K;;;
2008.07.03 08:30:00;USD;3;Unemployment Rate;5.5%;5.4%;5.5%;;;
2008.07.03 08:30:00;USD;2;Average Hourly Earnings m/m;0.3%;0.3%;0.3%;;;
2008.07.03 08:30:00;USD;2;Unemployment Claims;388K;384K;404K;;;
2008.07.03 10:00:00;USD;3;ISM Services PMI;51.7;51.1;48.2;;;
2008.07.03 10:35:00;USD;1;Natural Gas Storage;90B;89B;85B;;;
2008.07.04 01:00:00;JPY;1;Leading Indicators;92.8%;93.0%;92.6%;;;
2008.07.04 02:45:00;EUR;1;French Gov Budget Balance;-45.0B;;-50.1B;;;
2008.07.04 03:00:00;CHF;1;Foreign Currency Reserves;47B;;47B;;;
2008.07.04 06:00:00;EUR;2;German Factory Orders m/m;-1.7%;0.8%;-0.9%;;;
2008.07.04 06:00:00;USD;0;Bank Holiday (All Day);;;;;;
2008.07.04 10:00:00;CAD;3;Ivey PMI;62.5;62.2;69.6;;;
2008.07.06 06:00:00;EUR;1;ECB President Trichet Speaks;;;;;;
2008.07.06 19:30:00;AUD;1;AIG Construction Index;36.9;;40.3;;;
2008.07.06 20:30:00;JPY;2;BOJ Gov Shirakawa Speaks;;;;;;
2008.07.06 20:30:00;All;1;G8 Meetings (Day 1);;;;;;
2008.07.06 21:30:00;AUD;2;ANZ Job Advertisements m/m;-1.7%;;-3.0%;;;
2008.07.07 01:45:00;CHF;1;Unemployment Rate;2.5%;2.5%;2.5%;;;
2008.07.07 01:45:00;EUR;1;Eurogroup Meetings (All Day);;;;;;
2008.07.07 04:30:00;EUR;1;Sentix Investor Confidence;5.2;2.5;-9.3;;;
2008.07.07 04:30:00;GBP;3;Manufacturing Production m/m;0.0%;0.0%;-0.5%;;;
2008.07.07 04:30:00;GBP;1;Industrial Production m/m;0.1%;-0.1%;-0.8%;;;
2008.07.07 06:00:00;EUR;2;German Industrial Production m/m;-0.2%;0.3%;-2.4%;;;
2008.07.07 07:30:00;USD;1;NFIB Small Business Index;89.3;;89.2;;;
2008.07.07 08:30:00;CAD;3;Building Permits m/m;17.0%;-5.7%;1.1%;;;
2008.07.07 10:30:00;CAD;3;BOC Business Outlook Survey;;;;;;
2008.07.07 18:00:00;NZD;3;NZIER Business Confidence;-64;;-64;;;
2008.07.07 19:00:00;GBP;1;NIESR GDP Estimate;0.1%;;0.2%;;;
2008.07.07 19:50:00;JPY;1;Bank Lending y/y;1.5%;;1.8%;;;
2008.07.07 19:50:00;JPY;1;M2 Money Stock y/y;2.1%;2.0%;2.3%;;;
2008.07.07 19:50:00;All;1;G8 Meetings (Day 2);;;;;;
2008.07.07 21:30:00;AUD;1;NAB Business Confidence;-4;;-9;;;
2008.07.08 01:00:00;JPY;1;Economy Watchers Sentiment;32.1;31.0;29.5;;;
2008.07.08 01:00:00;EUR;1;ECOFIN Meetings (All Day);;;;;;
2008.07.08 04:33:00;GBP;2;ONS HPI y/y;4.9%;3.2%;3.7%;;;
2008.07.08 08:00:00;USD;3;Fed Chairman Bernanke Speaks;;;;;;
2008.07.08 10:00:00;USD;3;Pending Home Sales m/m;7.1%;-2.4%;-4.7%;;;
2008.07.08 10:00:00;USD;1;Final Wholesale Inventories m/m;1.4%;0.7%;0.8%;;;
2008.07.08 15:00:00;USD;1;Consumer Credit m/m;7.8B;7.5B;7.8B;;;
2008.07.08 19:01:00;GBP;2;Nationwide Consumer Confidence;65;65;61;;;
2008.07.08 19:50:00;JPY;2;Core Machinery Orders m/m;5.5%;1.1%;10.4%;;;
2008.07.08 20:30:00;AUD;2;Westpac Consumer Sentiment;-5.6%;;-6.7%;;;
2008.07.08 20:30:00;All;2;G8 Meetings (Day 3);;;;;;
2008.07.08 21:30:00;AUD;3;Home Loans m/m;-4.2%;-2.0%;-7.9%;;;
2008.07.09 02:00:00;EUR;1;German Trade Balance;17.8B;16.5B;14.6B;;;
2008.07.09 02:00:00;JPY;1;Prelim Machine Tool Orders y/y;1.4%;;-2.7%;;;
2008.07.09 02:45:00;EUR;1;French Trade Balance;-3.7B;-3.9B;-4.7B;;;
2008.07.09 03:00:00;EUR;2;ECB President Trichet Speaks;;;;;;
2008.07.09 04:30:00;GBP;2;Goods Trade Balance;-7.5B;-7.4B;-7.5B;;;
2008.07.09 05:00:00;EUR;1;Final GDP q/q;0.8%;0.8%;0.7%;;;
2008.07.09 05:33:00;GBP;1;BRC Shop Price Index y/y;1.8%;;2.5%;;;
2008.07.09 08:15:00;CAD;3;Housing Starts;228K;218K;218K;;;
2008.07.09 10:00:00;USD;1;JOLTS Job Openings;3.61M;;3.63M;;;
2008.07.09 10:30:00;GBP;1;CB Leading Index m/m;-0.6%;;-0.6%;;;
2008.07.09 10:35:00;USD;2;Crude Oil Inventories;-2.0M;-1.5M;-5.9M;;;
2008.07.09 18:26:00;NZD;1;BusinessNZ Manufacturing Index;47.9;;45.7;;;
2008.07.09 19:50:00;JPY;1;Current Account;1.51T;1.90T;2.03T;;;
2008.07.09 19:50:00;JPY;1;PPI y/y;4.8%;5.2%;5.6%;;;
2008.07.09 21:00:00;AUD;1;MI Inflation Expectations;5.9%;;5.9%;;;
2008.07.09 21:30:00;AUD;3;Employment Change;-25.6K;10.2K;29.8K;;;
2008.07.09 21:30:00;AUD;3;Unemployment Rate;4.3%;4.3%;4.2%;;;
2008.07.09 22:30:00;CNY;3;USD-Denominated Trade Balance;20.2B;22.7B;21.4B;;;
2008.07.10 02:45:00;EUR;2;French Industrial Production m/m;1.5%;-0.5%;-2.6%;;;
2008.07.10 04:00:00;EUR;2;ECB Monthly Bulletin;;;;;;
2008.07.10 04:00:00;EUR;1;Italian Industrial Production m/m;0.4%;-0.5%;-1.4%;;;
2008.07.10 04:00:00;GBP;3;Halifax HPI m/m;-2.5%;-1.0%;-2.0%;;;
2008.07.10 07:00:00;GBP;3;Official Bank Rate;5.00%;5.00%;5.00%;;;
2008.07.10 08:30:00;USD;3;Unemployment Claims;404K;397K;346K;;;
2008.07.10 10:00:00;USD;3;Fed Chairman Bernanke Testifies;;;;;;
2008.07.10 10:35:00;USD;1;Natural Gas Storage;85B;95B;90B;;;
2008.07.10 13:45:00;EUR;2;ECB President Trichet Speaks;;;;;;
2008.07.10 23:05:00;CNY;1;Foreign Direct Investment ytd/y;55.0%;;45.6%;;;
2008.07.11 00:30:00;JPY;1;Revised Industrial Production m/m;2.9%;2.9%;2.8%;;;
2008.07.11 01:00:00;JPY;1;Consumer Confidence;33.9;31.5;32.6;;;
2008.07.11 02:00:00;EUR;1;German WPI m/m;1.4%;1.0%;0.9%;;;
2008.07.11 07:00:00;CAD;3;Employment Change;8.4K;10.0K;-5.0K;;;
2008.07.11 07:00:00;CAD;3;Unemployment Rate;6.1%;6.1%;6.2%;;;
2008.07.11 08:30:00;CAD;3;Trade Balance;4.8B;5.2B;5.5B;;;
2008.07.11 08:30:00;CAD;1;NHPI m/m;0.0%;0.1%;0.0%;;;
2008.07.11 08:30:00;USD;3;Trade Balance;-60.5B;-62.5B;-59.8B;;;
2008.07.11 08:30:00;USD;2;Import Prices m/m;2.6%;2.0%;2.6%;;;
2008.07.11 09:55:00;USD;3;Prelim UoM Consumer Sentiment;56.4;55.5;56.6;;;
2008.07.11 09:55:00;USD;1;Prelim UoM Inflation Expectations;5.1%;;5.3%;;;
2008.07.11 14:00:00;USD;2;Federal Budget Balance;-165.9B;27.5B;50.7B;;;
2008.07.13 18:45:00;NZD;3;Core Retail Sales m/m;-0.3%;0.5%;0.7%;;;
2008.07.13 18:45:00;NZD;3;Retail Sales m/m;1.2%;0.0%;-1.2%;;;
2008.07.13 22:00:00;CNY;2;New Loans;319B;;332B;;;
2008.07.13 22:00:00;CNY;1;M2 Money Supply y/y;18.1%;17.5%;17.4%;;;
2008.07.14 00:00:00;EUR;0;French Bank Holiday (All Day);;;;;;
2008.07.14 04:30:00;GBP;3;PPI Input m/m;3.9%;2.5%;2.1%;;;
2008.07.14 04:30:00;GBP;1;PPI Output m/m;1.9%;1.2%;0.9%;;;
2008.07.14 05:00:00;EUR;2;Industrial Production m/m;1.0%;-2.3%;-1.9%;;;
2008.07.14 18:45:00;NZD;3;CPI q/q;0.7%;1.4%;1.6%;;;
2008.07.14 18:45:00;NZD;1;FPI m/m;1.0%;;1.3%;;;
2008.07.14 19:01:00;GBP;2;BRC Retail Sales Monitor y/y;1.9%;;-0.4%;;;
2008.07.14 19:01:00;GBP;2;RICS House Price Balance;-92%;-94%;-88%;;;
2008.07.14 21:30:00;AUD;3;Monetary Policy Meeting Minutes;;;;;;
2008.07.15 00:34:00;JPY;2;Monetary Policy Statement;;;;;;
2008.07.15 00:34:00;JPY;2;Overnight Call Rate;0.50%;0.50%;0.50%;;;
